SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
49,lzj,Male,19,Right,1,183,75,188,112,5,0,14.3011478727701
49,lzj,Male,19,Right,1,329,251,332,230,4,0,10.4217621808855
49,lzj,Male,19,Right,1,286,119,276,110,6,1,23.0685705890007
49,lzj,Male,19,Right,1,240,318,230,326,3,1,33.6717430727701
49,lzj,Male,19,Right,1,104,290,114,282,2,1,22.0825422971161
49,lzj,Male,19,Right,1,90,179,86,180,1,1,27.2220528890007
49,lzj,Male,19,Right,2,329,251,318,228,4,0,27.7997573808852
49,lzj,Male,19,Right,2,240,318,230,322,3,1,38.4661783727702
49,lzj,Male,19,Right,2,104,290,108,280,2,1,40.1134944727701
49,lzj,Male,19,Right,2,286,119,226,114,6,0,25.0211798971161
