SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
31,ljy,Female,23,Right,1,183,76,189.689543598784,93.6362480101521,5,0,44.3629012095762
31,ljy,Female,23,Right,1,286,119,275.733825230495,170.210703007466,6,0,56.186165018652
31,ljy,Female,23,Right,1,330,251,326.06946494739,190.948203910709,4,0,43.2474913277279
31,ljy,Female,23,Right,1,240,319,239.209969469043,268.871162831195,3,0,55.7963101277278
31,ljy,Female,23,Right,1,104,290,75.1714768811813,327.281550036007,2,0,48.4332772186522
31,ljy,Female,23,Right,1,90,179,62.6877687363272,165.772502769259,1,0,50.9705727368037
31,ljy,Female,23,Right,2,90,179,105.90232795416,156.817148257153,1,0,42.100613918652
31,ljy,Female,23,Right,2,240,319,234.313916431986,282.444218284592,3,0,104.712151918652
31,ljy,Female,23,Right,2,183,76,192.970583144991,89.3433583484587,5,1,36.1063295186518
31,ljy,Female,23,Right,2,104,290,88.3756117453352,298.069748072184,2,1,38.8984821186523
31,ljy,Female,23,Right,2,286,119,266.344418537485,152.824165596046,6,0,51.4004913732729
31,ljy,Female,23,Right,2,330,251,319.258261477134,251.032956567464,4,1,34.1607831277274
31,ljy,Female,23,Right,3,330,251,312.21529547665,260.215295476651,4,0,27.0156213277278
31,ljy,Female,23,Right,3,104,290,99.7187892925979,292.198520503734,2,1,47.610697709576
31,ljy,Female,23,Right,3,240,319,244.877774257699,236.696211097653,3,0,42.1575397095767
31,ljy,Female,23,Right,3,183,76,194.330298246695,63.9510648625976,5,1,33.7909359277273
31,ljy,Female,23,Right,3,286,119,187.877928969726,126.479160434824,6,0,47.9808441186524
31,ljy,Female,23,Right,3,90,179,101.990235772665,181.104050769023,1,1,47.4326685277274
31,ljy,Female,23,Right,4,183,76,191.225243015482,85.4860557602677,5,1,25.2986392186522
31,ljy,Female,23,Right,4,240,319,225.826294432229,283.831295146668,3,0,37.9719880368029
31,ljy,Female,23,Right,4,104,290,135.06850390415,327.890400901321,2,0,35.3118387095765
31,ljy,Female,23,Right,4,286,119,276,162.812775911477,6,0,24.8878969277284
31,ljy,Female,23,Right,4,330,251,312.477173632296,281.703219605903,4,0,25.1691826186516
31,ljy,Female,23,Right,4,90,179,76.2785218739246,192.937247701446,1,0,41.1669739186518
31,ljy,Female,23,Right,5,286,119,291.897610746177,140.321459959374,6,0,44.9763812458787
31,ljy,Female,23,Right,5,240,319,264.441053345261,295.052539454061,3,0,36.3104005186524
31,ljy,Female,23,Right,5,90,179,94.9834842143081,127.122718992067,1,0,29.2299138368044
31,ljy,Female,23,Right,5,330,251,320.999999999997,289.252484864009,4,0,21.6223395005009
31,ljy,Female,23,Right,5,104,290,110.28967142157,325.224831738728,2,0,29.1329428095769
31,ljy,Female,23,Right,5,183,76,198.674563684665,60.3092357517941,5,0,36.1134934914253
31,ljy,Female,23,Right,6,90,179,130.698080360004,190.054758097052,1,0,38.6649511186524
31,ljy,Female,23,Right,6,104,290,123.02647865869,321.02647865869,2,0,32.1281769277275
31,ljy,Female,23,Right,6,330,251,316.136156520793,264.099852198135,4,0,22.0342624095756
31,ljy,Female,23,Right,6,183,76,191.411258979684,69.4985088866964,5,1,16.6800317095758
31,ljy,Female,23,Right,6,286,119,286.577975790956,106.101466373719,6,1,24.8078386277275
31,ljy,Female,23,Right,6,240,319,252.463047344866,271.729264014321,3,0,35.0125730277277
31,ljy,Female,23,Right,7,183,76,198.927844274038,78.7733515006072,5,1,15.0169245186516
31,ljy,Female,23,Right,7,104,290,84.4477440987324,321.457102507762,2,0,20.8049213277272
31,ljy,Female,23,Right,7,330,251,324.235380098081,271.627233453243,4,0,13.9168866277278
31,ljy,Female,23,Right,7,90,179,88.4922853621226,173.692427929755,1,1,34.2698832186516
31,ljy,Female,23,Right,7,286,119,285.083970304887,137.105130921346,6,1,21.5449929277274
31,ljy,Female,23,Right,7,240,319,255.966968428614,254.245437984136,3,0,20.2189955186523
31,ljy,Female,23,Right,8,240,319,250.266549975137,286.825334237338,3,0,15.3628004277271
31,ljy,Female,23,Right,8,183,76,196.519228266352,69.0849515607941,5,1,19.6004975186515
31,ljy,Female,23,Right,8,104,290,93.9623057128792,331.563163408231,2,0,26.0334874368036
31,ljy,Female,23,Right,8,330,251,321.629509039023,261.629509039024,4,1,22.8362845186521
