SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
21,zys,Female,20,Right,1,353,269,341.200471117836,255.257695470892,4,1,26.0845412533381
21,zys,Female,20,Right,1,257,341,259.717188224315,338.332164914506,3,1,19.3532472700608
21,zys,Female,20,Right,1,112,311,100.767192092615,301.928678822504,2,1,23.3798094854428
21,zys,Female,20,Right,1,306,127,304.767472468751,124.795774720307,6,1,33.3171642770794
21,zys,Female,20,Right,1,196,81,202.071155639815,94.0607530887414,5,1,23.683754381258
21,zys,Female,20,Right,1,97,192,98.1066167788754,195.787682997677,1,1,28.0851141227322
