SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
47,lxc,Male,21,Right,1,329,251,324,216,4,0,13.3279864857877
47,lxc,Male,21,Right,1,240,318,250,326,3,1,17.6247291943582
47,lxc,Male,21,Right,1,104,290,118,294,2,1,20.0985454943575
47,lxc,Male,21,Right,1,286,119,292,120,6,1,9.01496160292572
47,lxc,Male,21,Right,1,183,75,184.814907974351,91.8739171974207,5,1,11.7517145943575
47,lxc,Male,21,Right,1,90,179,98,180,1,1,8.33720868578803
47,lxc,Male,21,Right,2,240,318,284,314,3,0,12.389291802926
