SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
49,lzj,Male,19,Right,1,183,75,188,80,5,1,17.4980767663487
49,lzj,Male,19,Right,1,104,290,99.7329726952408,285.732972695241,2,1,22.5844120746933
49,lzj,Male,19,Right,1,329,251,324,236,4,1,31.6234426080723
49,lzj,Male,19,Right,1,90,179,84,180,1,1,18.4131637913829
49,lzj,Male,19,Right,1,286,119,289.97561338236,107.97561338236,6,1,44.9584365580045
49,lzj,Male,19,Right,1,240,318,228,324,3,1,36.8688357830383
