SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
14,wrn,Female,24,Right,1,76,150,68,148,1,1,25.0890457999976
14,wrn,Female,24,Right,1,276,210,280,216,4,1,21.8149903999984
14,wrn,Female,24,Right,1,201,267,220,268,3,0,16.0391626000019
14,wrn,Female,24,Right,1,240,100,242,102,6,1,15.5667651000003
14,wrn,Female,24,Right,1,87,243,88,244,2,1,16.8241887000004
14,wrn,Female,24,Right,1,153,63,154,62,5,1,8.59361759999956
14,wrn,Female,24,Right,2,87,243,88,242,2,1,12.6262898999994
14,wrn,Female,24,Right,2,76,150,70,140,1,1,22.5862782999975
14,wrn,Female,24,Right,2,201,267,222,270,3,0,12.9945888000002
14,wrn,Female,24,Right,2,240,100,244,100,6,1,10.4986933
14,wrn,Female,24,Right,2,153,63,160,60,5,1,8.32034620000195
14,wrn,Female,24,Right,2,276,210,280,214,4,1,18.6086938000008
14,wrn,Female,24,Right,3,76,150,70,150,1,1,13.2824996999989
14,wrn,Female,24,Right,3,276,210,276,212,4,1,15.514052999999
14,wrn,Female,24,Right,3,201,267,224,268,3,0,16.1132933000008
14,wrn,Female,24,Right,3,87,243,90,244,2,1,16.370685599999
14,wrn,Female,24,Right,3,240,100,240,98,6,1,12.3787576000032
14,wrn,Female,24,Right,3,153,63,154,64,5,1,9.48255330000029
14,wrn,Female,24,Right,4,201,267,222,260,3,0,16.8348775000013
14,wrn,Female,24,Right,4,153,63,156,62,5,1,16.1224578000001
14,wrn,Female,24,Right,4,240,100,242,102,6,1,11.3549918999997
14,wrn,Female,24,Right,4,87,243,92,232,2,1,9.73772889999964
14,wrn,Female,24,Right,4,276,210,273.677341135891,221.08927807003,4,1,16.9847286999975
14,wrn,Female,24,Right,4,76,150,72,148,1,1,15.2007684000018
14,wrn,Female,24,Right,5,76,150,72,148,1,1,17.7863752999983
