SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
21,zys,Female,20,Right,1,257,341,257.007846472517,329.852556800664,3,1,36.8202138999986
21,zys,Female,20,Right,1,196,81,211.059656133859,88.3105571174874,5,1,21.3729736843561
21,zys,Female,20,Right,1,112,311,89.363495529077,314.35472652689,2,0,21.5094642837958
21,zys,Female,20,Right,1,353,269,359.659897519391,294.706209516741,4,0,24.8081894782099
21,zys,Female,20,Right,1,306,127,280.736120610347,94.9725692949137,6,0,29.5654556849167
21,zys,Female,20,Right,1,97,192,92.870069862211,203.824685111242,1,1,14.9347464854727
21,zys,Female,20,Right,2,196,81,202.677727508192,90.5055692891175,5,1,19.0276686849156
21,zys,Female,20,Right,2,257,341,251.646752981726,341.646752981726,3,1,46.9030455849152
21,zys,Female,20,Right,2,353,269,342.723425590663,285.744835698526,4,1,34.183498585473
21,zys,Female,20,Right,2,306,127,93.1456580309517,274.619815775645,6,0,43.1695065715048
