SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
39,lh,Male,20,Right,1,286,119,284,122,6,1,12.0593434302293
39,lh,Male,20,Right,1,240,319,240,284,3,0,18.1757530302293
39,lh,Male,20,Right,1,90,179,88,178,1,1,7.99520873022925
39,lh,Male,20,Right,1,330,251,328,232,4,0,8.66170053022915
39,lh,Male,20,Right,1,104,290,106,300,2,1,12.2447935302293
39,lh,Male,20,Right,1,183,76,178,76,5,1,9.39374123922175
39,lh,Male,20,Right,2,90,179,90,176,1,1,6.66698463022931
39,lh,Male,20,Right,2,104,290,106,298,2,1,11.9397883392217
39,lh,Male,20,Right,2,330,251,336,226,4,0,10.8767866392216
