SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
39,lh,Male,20,Right,1,329,251,324,236,4,1,15.2474922831479
39,lh,Male,20,Right,1,240,318,244,336,3,1,11.0338075831482
39,lh,Male,20,Right,1,104,290,136,308,2,0,12.9605332004962
39,lh,Male,20,Right,1,286,119,282,104,6,1,9.40013749182208
39,lh,Male,20,Right,1,183,75,152,52,5,0,11.873437591822
39,lh,Male,20,Right,1,90,179,62,172,1,0,30.3332597004965
39,lh,Male,20,Right,2,286,119,282,104,6,1,19.216728900496
39,lh,Male,20,Right,2,104,290,129.884094424746,291.950663251165,2,0,19.817493491822
