SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
14,wrn,Female,24,Right,1,286,119,294,106,6,1,51.7979703084839
14,wrn,Female,24,Right,1,104,290,69.8953280875141,173.997259069509,2,0,90.8700967084842
14,wrn,Female,24,Right,1,330,251,332,266,4,1,41.764972017887
14,wrn,Female,24,Right,1,90,179,72,124,1,0,31.4220000272908
14,wrn,Female,24,Right,1,183,76,180,70,5,1,21.1887995178877
14,wrn,Female,24,Right,1,240,319,242,342,3,0,43.1170280178867
14,wrn,Female,24,Right,2,240,319,252,332,3,1,25.1030737990795
14,wrn,Female,24,Right,2,90,179,66,148,1,0,30.0554404990799
14,wrn,Female,24,Right,2,330,251,332,226,4,0,34.8135942272911
14,wrn,Female,24,Right,2,183,76,186,64,5,1,23.6663948896758
14,wrn,Female,24,Right,2,286,119,274,100,6,0,34.8853581990797
14,wrn,Female,24,Right,2,104,290,74,114,2,0,31.6232312178872
14,wrn,Female,24,Right,3,183,76,188,72,5,1,23.5095169084843
14,wrn,Female,24,Right,3,240,319,232,328,3,1,32.3035572990793
14,wrn,Female,24,Right,3,90,179,70,114,1,0,19.1706212178869
14,wrn,Female,24,Right,3,330,251,332,192,4,0,20.4132824084836
14,wrn,Female,24,Right,3,286,119,266,104,6,0,22.9171017366953
14,wrn,Female,24,Right,3,104,290,74,124,2,0,19.7347556084842
14,wrn,Female,24,Right,4,240,319,230,334,3,1,20.0740652366949
