SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
39,lh,Male,20,Right,1,104,290,104,294,2,1,6.78486133156343
39,lh,Male,20,Right,1,183,76,182,82,5,1,5.5649782315636
39,lh,Male,20,Right,1,240,319,250,342,3,0,11.6107990405117
39,lh,Male,20,Right,1,286,119,286,114,6,1,9.00153643156364
39,lh,Male,20,Right,1,90,179,88,188,1,1,5.85104592261564
39,lh,Male,20,Right,1,330,251,334,242,4,1,9.37338844051169
39,lh,Male,20,Right,2,240,319,248,336,3,0,12.9191308405116
39,lh,Male,20,Right,2,286,119,290,124,6,1,17.6411195226158
39,lh,Male,20,Right,2,90,179,88,190,1,1,4.70612423156354
39,lh,Male,20,Right,2,183,76,178,70,5,1,4.72252030471986
39,lh,Male,20,Right,2,330,251,340,258,4,1,8.61046063156368
39,lh,Male,20,Right,2,104,290,102,290,2,1,9.92358333156358
39,lh,Male,20,Right,3,90,179,88,180,1,1,6.5269550315636
