SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
33,mxz,Male,20,Right,1,286,119,292,100,6,0,68.2962316370858
33,mxz,Male,20,Right,1,240,319,264,314,3,0,42.2797067370857
33,mxz,Male,20,Right,1,90,179,90,174,1,1,11.9242477552179
33,mxz,Male,20,Right,1,330,251,294,228,4,0,12.742078446151
33,mxz,Male,20,Right,1,104,290,106,284,2,1,15.5426388370861
33,mxz,Male,20,Right,1,183,76,178,76,5,1,14.5808299370856
33,mxz,Male,20,Right,2,90,179,88,172,1,1,15.6825532461507
33,mxz,Male,20,Right,2,104,290,98.1046719124859,289.997259069509,2,1,22.435327446151
33,mxz,Male,20,Right,2,330,251,304,240,4,0,16.0088280461514
