SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
35,wzh,Male,23,Right,1,183,75,180,74,5,1,8.67387568798495
35,wzh,Male,23,Right,1,240,318,246,298,3,0,32.2645696968202
35,wzh,Male,23,Right,1,329,251,322,248,4,1,15.741179170318
35,wzh,Male,23,Right,1,286,119,286.594330486612,125.827321379076,6,1,27.3319037879864
35,wzh,Male,23,Right,1,104,290,96,296,2,1,14.0178081791519
35,wzh,Male,23,Right,1,90,179,94,182,1,1,17.9424183791525
35,wzh,Male,23,Right,2,329,251,324,238,4,1,12.2033089968209
35,wzh,Male,23,Right,2,240,318,256,314,3,1,23.3225715968201
