SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
39,lh,Male,20,Right,1,330,251,322,236,4,1,11.576253509476
39,lh,Male,20,Right,1,240,319,296,324,3,0,11.160220309476
39,lh,Male,20,Right,1,104,290,106,292,2,1,14.617577499458
39,lh,Male,20,Right,1,286,119,296,120,6,1,23.677895909476
39,lh,Male,20,Right,1,183,76,176,72,5,1,12.1286303094761
39,lh,Male,20,Right,1,90,179,88,176,1,1,9.65053663953017
39,lh,Male,20,Right,2,240,319,232,300,3,0,13.0176105194942
39,lh,Male,20,Right,2,286,119,304,136,6,0,8.351300509476
39,lh,Male,20,Right,2,330,251,328,226,4,0,8.69938111949432
39,lh,Male,20,Right,2,183,76,172,76,5,1,16.4970037094758
39,lh,Male,20,Right,2,104,290,106,298,2,1,14.280554609476
39,lh,Male,20,Right,2,90,179,86,172,1,1,11.6666606094759
39,lh,Male,20,Right,3,183,76,176,68,5,1,7.8313078094759
39,lh,Male,20,Right,3,286,119,300,116,6,1,12.888724799458
39,lh,Male,20,Right,3,330,251,336,234,4,1,10.4276512994579
