SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
41,fza,Male,19,Right,1,90,179,73.9999999999973,188.000000000001,1,1,27.0227035522025
41,fza,Male,19,Right,1,104,290,108.500892236893,269.882139988893,2,0,27.6169303604624
41,fza,Male,19,Right,1,330,251,324,252,4,1,14.3635921522027
41,fza,Male,19,Right,1,183,76,187.570078687288,79.9588860426372,5,1,19.6338983769829
41,fza,Male,19,Right,1,286,119,282,128,6,1,13.625652235683
41,fza,Male,19,Right,1,240,319,242,322,3,1,23.5341724687228
41,fza,Male,19,Right,2,183,76,186,72,5,1,12.3826450687225
41,fza,Male,19,Right,2,104,290,126,266,2,0,49.8700963604624
