SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
49,lzj,Male,19,Right,1,330,251,322,234,4,0,18.349066784016
49,lzj,Male,19,Right,1,104,290,106,286,2,1,19.1450435480183
49,lzj,Male,19,Right,1,240,319,240,334,3,1,34.9569610210201
49,lzj,Male,19,Right,1,183,76,190,70,5,1,16.3879239390189
49,lzj,Male,19,Right,1,286,119,292,96,6,0,33.8403471390193
49,lzj,Male,19,Right,1,90,179,62,182,1,0,34.3329989390186
49,lzj,Male,19,Right,2,183,76,184,68,5,1,9.91726205701707
49,lzj,Male,19,Right,2,240,319,240,324,3,1,24.1372747390196
49,lzj,Male,19,Right,2,104,290,92,292,2,1,19.041404830019
49,lzj,Male,19,Right,2,286,119,286,102,6,1,27.337514139017
49,lzj,Male,19,Right,2,330,251,308,238,4,0,43.3185208300201
49,lzj,Male,19,Right,2,90,179,56,176,1,0,23.3364344300207
49,lzj,Male,19,Right,3,286,119,272,92,6,0,15.1050937300206
49,lzj,Male,19,Right,3,240,319,229.732703387401,120.199977353775,3,0,27.3696204480184
