SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
23,yhz,Female,19,Right,1,353,269,347.362669394624,253.587447914885,4,1,283.188766710819
23,yhz,Female,19,Right,1,112,311,128.991862363762,313.432719300505,2,1,186.368760984748
23,yhz,Female,19,Right,1,257,341,261.108089852766,346.91125087742,3,1,95.4362191957916
23,yhz,Female,19,Right,1,196,81,214.687195617979,69.2431868169882,5,0,84.6111353322303
23,yhz,Female,19,Right,1,306,127,296.551344735523,141.490172809175,6,1,173.915890653569
23,yhz,Female,19,Right,1,97,192,96.5313912968177,202.731576136191,1,1,72.2871651637106
23,yhz,Female,19,Right,2,196,81,203.433577739245,58.203303055265,5,0,191.790190084972
23,yhz,Female,19,Right,2,257,341,268.40846922126,342.941397946055,3,1,38.2765517216376
23,yhz,Female,19,Right,2,112,311,125.328068114328,325.718386843198,2,1,92.323868184747
23,yhz,Female,19,Right,2,306,127,315.118036319197,132.449362512105,6,1,176.378977484748
23,yhz,Female,19,Right,2,353,269,339.392346390731,258.95237369201,4,1,87.8912729742297
23,yhz,Female,19,Right,2,97,192,84.6012217597666,202.017455189661,1,1,24.8211093742284
23,yhz,Female,19,Right,3,306,127,299.379446365715,134.52528787159,6,1,87.8041804321565
