SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
27,csa,Female,23,Right,1,353,269,199.179378201007,111.659414758671,4,0,26.1532027982139
27,csa,Female,23,Right,1,257,341,72.6075059864565,131.20282882867,3,0,11.587259222898
27,csa,Female,23,Right,1,112,311,196.293313390383,165.083263991264,2,0,14.8613927742244
27,csa,Female,23,Right,1,306,127,0,0,6,0,5.52404244723311
27,csa,Female,23,Right,1,196,81,0,0,5,0,0.517146958422927
27,csa,Female,23,Right,1,97,192,238.849303683128,102.409753097053,1,0,16.5941823605563
27,csa,Female,23,Right,2,257,341,0,0,3,0,0.328925238352895
27,csa,Female,23,Right,2,306,127,0,0,6,0,0.358308873877832
27,csa,Female,23,Right,2,353,269,0,0,4,0,0.307291083106975
27,csa,Female,23,Right,2,196,81,0,0,5,0,0.629935151674545
27,csa,Female,23,Right,2,112,311,0,0,2,0,0.283544556115885
