SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
25,lxy,Female,21,Right,1,257,341,232,326,3,0,31.2595571809197
25,lxy,Female,21,Right,1,196,81,200,70,5,1,23.9965092900929
25,lxy,Female,21,Right,1,112,311,90,292,2,0,24.6151897889922
25,lxy,Female,21,Right,1,353,269,348,242,4,0,33.0584900893591
25,lxy,Female,21,Right,1,306,127,252,132,6,0,31.575599990093
25,lxy,Female,21,Right,1,97,192,102,288,1,0,30.690377189726
25,lxy,Female,21,Right,2,196,81,190,76,5,1,25.8142276827548
25,lxy,Female,21,Right,2,257,341,246,344,3,1,30.4724913820201
25,lxy,Female,21,Right,2,353,269,346,266,4,1,35.5737035900929
25,lxy,Female,21,Right,2,306,127,266,122,6,0,23.9168454897263
25,lxy,Female,21,Right,2,112,311,100,290,2,0,25.3888346893591
25,lxy,Female,21,Right,2,97,192,182,202,1,0,25.0681142893591
25,lxy,Female,21,Right,3,353,269,336,262,4,1,29.2790992893597
25,lxy,Female,21,Right,3,257,341,246,340,3,1,28.8627775889918
25,lxy,Female,21,Right,3,112,311,94,292,2,0,22.716045287525
