SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
45,yxy,Female,19,Right,1,183,76,180,74,5,1,11.3842908900892
45,yxy,Female,19,Right,1,240,319,245.895328087514,319.997259069509,3,1,13.9606586900891
45,yxy,Female,19,Right,1,90,179,93,181.942286340599,1,1,11.0395786687159
45,yxy,Female,19,Right,1,330,251,320.97560733739,247,4,1,20.1814601794022
45,yxy,Female,19,Right,1,286,119,269.923048454133,120,6,1,28.8945612007756
45,yxy,Female,19,Right,1,104,290,106.549395835538,277.619010661771,2,1,38.0686076900893
