SubNo,Name,Gender,Age,Handedness,test_time,true_leftBar,true_rightBar,leftBarLength,rightBarLength,face,acc,rt
39,lh,Male,20,Right,1,183,75,174,62,5,1,48.2730776831481
39,lh,Male,20,Right,1,240,318,234,334,3,1,10.3523691004962
39,lh,Male,20,Right,1,90,179,60,174,1,0,16.7787905004961
39,lh,Male,20,Right,1,329,251,330,244,4,1,14.8467149831481
39,lh,Male,20,Right,1,286,119,284,110,6,1,10.4817840831479
39,lh,Male,20,Right,1,104,290,104,302,2,1,11.7426169831483
39,lh,Male,20,Right,2,240,318,242,334,3,1,11.503720591822
39,lh,Male,20,Right,2,183,75,174,64,5,1,10.4194013918222
39,lh,Male,20,Right,2,104,290,118,290,2,1,16.1231474918222
