SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
39,lh,Male,20,Right,2,104,290,138,340,60.4648658313239,0,30.2291889310218
39,lh,Male,20,Right,1,90,179,88,184,5.3851648071345,1,7.59693924895328
39,lh,Male,20,Right,5,183,76,185.790943073465,71.9890437907366,4.88642332917948,1,9.55203583998718
39,lh,Male,20,Right,3,240,319,238.953280875141,291.972590695092,27.0476704109873,0,11.6917265220554
39,lh,Male,20,Right,6,286,119,274,140,24.1867732448956,0,6.25600963998841
39,lh,Male,20,Right,4,330,251,342,250,12.0415945787923,1,9.13793793102195
39,lh,Male,20,Right,1,90,179,88,174,5.3851648071345,1,6.86228574895358
39,lh,Male,20,Right,5,183,76,178,80,6.40312423743286,1,9.21571543998743
39,lh,Male,20,Right,6,286,119,278,134,17,1,6.58528524895337
39,lh,Male,20,Right,2,104,290,141.371968525085,337.983554417055,60.8201079079476,0,8.80563883998821
39,lh,Male,20,Right,3,240,319,240,298,21,0,8.79927793998741
39,lh,Male,20,Right,4,330,251,342,256,13,1,9.1861285399882
39,lh,Male,20,Right,4,330,251,336,258,9.21954445729289,1,8.02032143998804
39,lh,Male,20,Right,2,104,290,132,344,60.8276253029822,0,13.3659459399878
39,lh,Male,20,Right,1,90,179,81.6244809867642,187.493175778291,11.9282586131432,1,9.8383759399876
39,lh,Male,20,Right,3,240,319,248,296,24.3515913237718,0,11.1100766220552
39,lh,Male,20,Right,6,286,119,300,138,23.6008474424119,0,6.922151939988
39,lh,Male,20,Right,5,183,76,180,78,3.605551275464,1,7.68861324895352
39,lh,Male,20,Right,1,90,179,84,182,6.70820393249937,1,7.48028523998801
39,lh,Male,20,Right,5,183,76,180,80,5.00000000000001,1,6.8005631310225
39,lh,Male,20,Right,4,330,251,338,252,8.06225774829855,1,7.74816213102167
39,lh,Male,20,Right,3,240,319,236,298,21.3775583264319,0,8.04933711308968
39,lh,Male,20,Right,2,104,290,128,344,59.0931468107766,0,9.64268573998743
39,lh,Male,20,Right,6,286,119,284,128,9.21954445729289,1,8.53854944895375
