SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
18,wbx,Male,18,Right,4,276,210,256,202,21.540659228538,0,20.5405478000012
18,wbx,Male,18,Right,5,153,63,158,82,19.6468827043885,0,10.1622136999995
18,wbx,Male,18,Right,3,201,267,190,266,11.0453610171873,1,6.79612140000063
18,wbx,Male,18,Right,1,76,150,74,158,8.24621125123532,1,15.1490458999997
18,wbx,Male,18,Right,6,240,100,234,84,17.0880074906351,0,7.97925600000053
18,wbx,Male,18,Right,2,87,243,82,224,19.6468827043885,0,12.7174949
18,wbx,Male,18,Right,4,276,210,268,206,8.94427190999916,1,7.61898889999975
18,wbx,Male,18,Right,5,153,63,154,72,9.05538513813742,1,9.2368361000008
18,wbx,Male,18,Right,3,201,267,192,266,9.05538513813742,1,9.97334520000004
18,wbx,Male,18,Right,1,76,150,84,158,11.3137084989848,1,12.5977457999998
18,wbx,Male,18,Right,6,240,100,230,90,14.142135623731,1,67.2892324000004
18,wbx,Male,18,Right,2,87,243,78,232,14.2126704035519,1,8.17519410000023
18,wbx,Male,18,Right,4,276,210,266,202,12.8062484748657,1,7.08226029999969
18,wbx,Male,18,Right,3,201,267,188,272,13.9283882771841,1,7.57718959999875
18,wbx,Male,18,Right,2,87,243,84,238,5.8309518948453,1,9.59633360000043
18,wbx,Male,18,Right,5,153,63,152,70,7.07106781186548,1,10.2948164000009
18,wbx,Male,18,Right,6,240,100,230,88,15.6204993518133,1,12.6432891000004
18,wbx,Male,18,Right,1,76,150,76,156,6,1,7.21222750000015
18,wbx,Male,18,Right,3,201,267,194,262,8.60232526704263,1,7.76383530000021
18,wbx,Male,18,Right,4,276,210,268,194,17.8885438199983,0,8.07277530000101
18,wbx,Male,18,Right,2,87,243,84,244,3.16227766016838,1,5.50447030000032
18,wbx,Male,18,Right,1,76,150,70,150,6,1,17.1981316000001
18,wbx,Male,18,Right,6,240,100,240,86,14,1,9.69593350000105
18,wbx,Male,18,Right,5,153,63,156,64,3.16227766016838,1,6.65476589999889
