SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
12,zzc,Male,23,Right,2,87,243,108,230,24.6981780704569,0,12.8105388999993
12,zzc,Male,23,Right,6,240,100,240,94,5.99999999999999,1,23.8804804000001
12,zzc,Male,23,Right,5,153,63,156,58,5.83095189484529,1,8.83462200000031
12,zzc,Male,23,Right,1,76,150,78,158,8.24621125123532,1,6.20487739999953
12,zzc,Male,23,Right,3,201,267,208,262,8.60232526704263,1,10.9127768999997
12,zzc,Male,23,Right,4,276,210,280,202,8.94427190999916,1,11.1348501000002
12,zzc,Male,23,Right,5,153,63,154,56,7.07106781186548,1,10.4930007000003
12,zzc,Male,23,Right,4,276,210,284,198,14.422205101856,1,9.78782839999985
12,zzc,Male,23,Right,1,76,150,80,158,8.94427190999916,1,15.4809290000003
12,zzc,Male,23,Right,6,240,100,246,72,28.6356421265527,0,8.78434579999976
12,zzc,Male,23,Right,3,201,267,208,256,13.0384048104053,1,8.38866760000019
12,zzc,Male,23,Right,2,87,243,104,228,22.6715680975093,0,11.5358231
12,zzc,Male,23,Right,2,87,243,100,220,26.4196896272458,0,6.90180659999987
12,zzc,Male,23,Right,4,276,210,280,212,4.47213595499958,1,11.8778424000002
12,zzc,Male,23,Right,6,240,100,248,76,25.298221281347,0,8.63814719999937
12,zzc,Male,23,Right,3,201,267,212,260,13.0384048104053,1,6.82236719999946
12,zzc,Male,23,Right,5,153,63,158,60,5.83095189484529,1,4.71491460000016
12,zzc,Male,23,Right,1,76,150,80,156,7.21110255092798,1,7.64078040000004
12,zzc,Male,23,Right,1,76,150,82,162,13.4164078649987,1,4.56853389999924
12,zzc,Male,23,Right,4,276,210,284,206,8.94427190999916,1,10.0063010000003
12,zzc,Male,23,Right,6,240,100,240.019186513436,68.7327033874012,31.2673024992967,0,15.2645725999992
12,zzc,Male,23,Right,2,87,243,100,224,23.0217288664427,0,6.38711469999998
12,zzc,Male,23,Right,3,201,267,206,258,10.295630140987,1,7.82372269999996
12,zzc,Male,23,Right,5,153,63,158,66,5.83095189484531,1,5.32640390000051
