SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
17,bys,Female,21,Right,4,353,269,354,260,9.05538513813742,1,34.2083220091481
17,bys,Female,21,Right,6,306,127,310,98,29.2745623366089,0,26.3376188409566
17,bys,Female,21,Right,5,196,81,198,88,7.28010988928052,1,20.4758452784845
17,bys,Female,21,Right,1,97,192,83.9972590695092,187.895328087514,13.6352338892522,1,28.3292436091506
17,bys,Female,21,Right,2,112,311,118,302,10.816653826392,1,52.427846340961
17,bys,Female,21,Right,3,257,341,248,348,11.4017542509914,1,28.0038449221283
17,bys,Female,21,Right,5,196,81,192,76,6.40312423743285,1,18.0994425503704
17,bys,Female,21,Right,4,353,269,368,272,15.2970585407784,1,31.5486288362517
17,bys,Female,21,Right,6,306,127,328,120,23.0867927612304,0,25.2098050739114
17,bys,Female,21,Right,3,257,341,256,332,9.05538513813742,1,24.941681831544
17,bys,Female,21,Right,2,112,311,124,306,13,1,34.4519753362474
17,bys,Female,21,Right,1,97,192,96,180,12.0415945787923,1,27.8810487031697
17,bys,Female,21,Right,4,353,269,342,264,12.0830459735946,1,29.2737796221263
17,bys,Female,21,Right,3,257,341,264,332,11.4017542509914,1,29.490161531543
17,bys,Female,21,Right,2,112,311,130,298,22.2036033111745,0,29.0584859409573
17,bys,Female,21,Right,6,306,127,332,120,26.9258240356725,0,28.77182935979
17,bys,Female,21,Right,5,196,81,194,88,7.28010988928052,1,19.8563947692055
17,bys,Female,21,Right,1,97,192,78,180,22.4722050542442,0,25.1590417172883
17,bys,Female,21,Right,3,257,341,260,340,3.16227766016838,1,30.2285222221253
17,bys,Female,21,Right,6,306,127,330,104,33.2415402771893,0,22.2312629409607
17,bys,Female,21,Right,4,353,269,348,274,7.07106781186548,1,27.9303410550856
17,bys,Female,21,Right,5,196,81,196,78,3,1,17.5133629538068
17,bys,Female,21,Right,2,112,311,132,300,22.8254244210267,0,24.0374977596584
17,bys,Female,21,Right,1,97,192,80,178,22.0227155455452,0,19.0125396362528
