SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
20,whc,Male,20,Right,4,276,210,268,212,8.24621125123532,1,76.7384480000001
20,whc,Male,20,Right,5,153,63,156,80,17.2626765016321,0,7.13781060000019
20,whc,Male,20,Right,2,87,243,100,240,13.3416640641263,1,10.4893173
20,whc,Male,20,Right,6,240,100,242,100,2,1,12.1912690999998
20,whc,Male,20,Right,1,76,150,72,152,4.47213595499958,1,21.2857911000001
20,whc,Male,20,Right,3,201,267,184,268,17.0293863659264,0,16.6128662000001
20,whc,Male,20,Right,6,240,100,242,100,2,1,12.7842864999993
20,whc,Male,20,Right,3,201,267,186,256,18.6010752377383,0,31.5323064000004
20,whc,Male,20,Right,2,87,243,90,250,7.61577310586391,1,8.95452039999964
20,whc,Male,20,Right,4,276,210,274,204,6.32455532033676,1,9.13491559999966
20,whc,Male,20,Right,1,76,150,73.7906561750282,156.005481860982,6.39898527264451,1,11.1092226000001
20,whc,Male,20,Right,5,153,63,154,78,15.0332963783729,1,10.5535964000001
20,whc,Male,20,Right,2,87,243,82,240,5.8309518948453,1,10.2967813999994
20,whc,Male,20,Right,3,201,267,192,264,9.48683298050514,1,13.7931153999998
20,whc,Male,20,Right,6,240,100,236,102,4.47213595499959,1,28.6764798000004
20,whc,Male,20,Right,1,76,150,158,82,106.526991884686,0,10.5555242999999
20,whc,Male,20,Right,4,276,210,278,204,6.32455532033676,1,10.4648822999998
20,whc,Male,20,Right,5,153,63,156,82,19.2353840616714,0,8.21073729999989
20,whc,Male,20,Right,1,76,150,156,82,104.995237987253,0,11.7054980000003
20,whc,Male,20,Right,4,276,210,276,214,4,1,9.7959723999993
20,whc,Male,20,Right,3,201,267,210,270,9.48683298050514,1,9.18980190000002
20,whc,Male,20,Right,5,153,63,156,78,15.2970585407784,1,4.94442140000046
20,whc,Male,20,Right,6,240,100,236.523359562429,97.9862953475458,4.01771516654265,1,32.3609126000001
20,whc,Male,20,Right,2,87,243,78,252,12.7279220613579,1,30.0850931000004
