SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
37,pqh,Male,20,Right,6,286,119,293.465406774803,113.961626973128,9.00652547163342,1,16.9011816920556
37,pqh,Male,20,Right,4,329,251,336,250,7.07106781186547,1,12.3247239830162
37,pqh,Male,20,Right,2,104,290,102,296,6.32455532033676,1,17.7670207558949
37,pqh,Male,20,Right,1,90,179,84,186,9.21954445729289,1,8.3077389649352
37,pqh,Male,20,Right,5,183,75,186,78,4.2426406871193,1,10.2979578920567
37,pqh,Male,20,Right,3,240,318,238,308,10.1980390271856,1,9.63105068301411
37,pqh,Male,20,Right,4,329,251,334,246,7.07106781186546,1,14.4717196649362
37,pqh,Male,20,Right,1,90,179,70,180,20.0249843945008,0,28.2350313287716
37,pqh,Male,20,Right,3,240,318,232,314,8.94427190999916,1,13.4289203830158
37,pqh,Male,20,Right,2,104,290,114,290,10,1,13.1144109739744
37,pqh,Male,20,Right,5,183,75,190,82,9.89949493661168,1,9.9487412739727
37,pqh,Male,20,Right,6,286,119,282,112,8.06225774829854,1,8.8403361830151
37,pqh,Male,20,Right,1,90,179,80,188,13.4536240470737,1,12.0246808739739
37,pqh,Male,20,Right,6,286,119,286,114,5,1,11.2154140920575
37,pqh,Male,20,Right,3,240,318,230,312,11.6619037896906,1,13.9431526558947
37,pqh,Male,20,Right,2,104,290,102,292,2.82842712474619,1,10.5438843739739
37,pqh,Male,20,Right,4,329,251,334,254,5.83095189484532,1,15.6426303558947
37,pqh,Male,20,Right,5,183,75,192,90,17.4928556845359,1,17.2857284830152
37,pqh,Male,20,Right,1,90,179,82,192,15.2643375224737,1,9.38199849205739
37,pqh,Male,20,Right,5,183,75,188,76,5.09901951359279,1,6.80070758301554
37,pqh,Male,20,Right,4,329,251,326,242,9.48683298050511,1,9.20495707397458
37,pqh,Male,20,Right,2,104,290,104,294,4,1,9.63852070109897
37,pqh,Male,20,Right,3,240,318,226,320,14.142135623731,1,9.86253578301512
37,pqh,Male,20,Right,6,286,119,290,122,5.00000000000001,1,28.1815150830153
