SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
16,lhy,Male,20,Left,4,276,210,272,210,4,1,15.1688223000001
16,lhy,Male,20,Left,3,201,267,210,278,14.2126704035519,1,11.2386883000008
16,lhy,Male,20,Left,5,153,63,154,64,1.4142135623731,1,16.2465305000005
16,lhy,Male,20,Left,2,87,243,92,238,7.07106781186548,1,11.2126259999995
16,lhy,Male,20,Left,6,240,100,244,90,10.770329614269,1,14.5653489000006
16,lhy,Male,20,Left,1,76,150,60,154,16.4924225024706,0,11.6822296999999
16,lhy,Male,20,Left,4,276,210,280,192,18.4390889145858,0,18.4990480000006
16,lhy,Male,20,Left,3,201,267,200,282,15.0332963783729,1,13.7459812999996
16,lhy,Male,20,Left,2,87,243,88,244,1.4142135623731,1,10.5433515000004
16,lhy,Male,20,Left,1,76,150,62,154,14.560219778561,1,13.1653620999996
16,lhy,Male,20,Left,6,240,100,238,94,6.32455532033674,1,19.7126306999999
16,lhy,Male,20,Left,5,153,63,152,68,5.09901951359278,1,12.6731742000002
16,lhy,Male,20,Left,4,276,210,282,204,8.48528137423857,1,14.7383661999993
16,lhy,Male,20,Left,3,201,267,204,278,11.4017542509914,1,13.3108709999997
16,lhy,Male,20,Left,1,76,150,62,156,15.2315462117278,1,14.4537719999998
16,lhy,Male,20,Left,6,240,100,236,92,8.94427190999915,1,14.4630900000002
16,lhy,Male,20,Left,5,153,63,152,62,1.41421356237309,1,9.96101869999984
16,lhy,Male,20,Left,2,87,243,94,238,8.60232526704263,1,13.5319238000002
16,lhy,Male,20,Left,3,201,267,212,280,17.0293863659264,0,21.9387367999998
16,lhy,Male,20,Left,4,276,210,284,206,8.94427190999916,1,14.2478080999999
16,lhy,Male,20,Left,5,153,63,158,52,12.0830459735946,1,14.5618579000002
16,lhy,Male,20,Left,1,76,150,64,154,12.6491106406735,1,9.39680769999995
16,lhy,Male,20,Left,6,240,100,242,90,10.1980390271856,1,18.6342620999994
16,lhy,Male,20,Left,2,87,243,96,238,10.295630140987,1,10.4688269000007
