SubNo,Name,Gender,Age,Handedness,face,true_leftBar,true_rightBar,leftBarLength,rightBarLength,error,acc,rt
35,wzh,Male,23,Right,5,183,75,188,96.0000000000001,21.587033144923,0,10.3946263621147
35,wzh,Male,23,Right,4,329,251,330,240,11.0453610171872,1,9.08374377852306
35,wzh,Male,23,Right,3,240,318,262,120,199.218473039023,0,11.682503778522
35,wzh,Male,23,Right,6,286,119,258,120,28.0178514522438,0,7.27924497031745
35,wzh,Male,23,Right,1,90,179,100,180,10.0498756211209,1,7.63174867852285
35,wzh,Male,23,Right,2,104,290,97.3495011995483,289.912290224293,6.6510771533312,1,7.64167768672451
35,wzh,Male,23,Right,3,240,318,234,316,6.32455532033676,1,8.92315759492703
35,wzh,Male,23,Right,1,90,179,94,180,4.12310562561766,1,6.02388999492723
35,wzh,Male,23,Right,2,104,290,106,294,4.47213595499958,1,7.21973637031806
35,wzh,Male,23,Right,4,329,251,326,242,9.48683298050511,1,10.269737386725
35,wzh,Male,23,Right,5,183,75,188.721469724633,87.9287358072379,14.1381549497538,1,10.5319839867243
35,wzh,Male,23,Right,6,286,119,262,120,24.0208242989286,0,9.76765938672361
35,wzh,Male,23,Right,3,240,318,260,314,20.3960780543711,0,9.41031098672465
35,wzh,Male,23,Right,6,286,119,268,116,18.2482875908947,1,9.95561987852125
35,wzh,Male,23,Right,4,329,251,334,2.04516015457608e-14,251.049795857316,0,4.1585809867247
35,wzh,Male,23,Right,2,104,290,106,306,16.1245154965971,1,9.04638017852267
35,wzh,Male,23,Right,1,90,179,102,182,12.369316876853,1,8.84661507031706
35,wzh,Male,23,Right,5,183,75,184,86,11.0453610171873,1,9.30281187852233
35,wzh,Male,23,Right,1,90,179,90,182,3,1,7.15637640312889
35,wzh,Male,23,Right,3,240,318,234,318,6,1,11.897437986725
35,wzh,Male,23,Right,2,104,290,102.198110162204,311.942440459692,22.0163007863421,0,9.12537517852252
35,wzh,Male,23,Right,5,183,75,188.407453987175,67.9369585987104,8.8953421777776,1,12.3462562785207
35,wzh,Male,23,Right,6,286,119,260,120,26.0192236625154,0,22.6433891867237
35,wzh,Male,23,Right,4,329,251,328,246,5.09901951359276,1,12.3934165539122
